Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6
Iron Remembrance Vestments,2614190248,"""6917529188472074444""",junk,Legendary,Chest Armor,ironbanner,Warlock,1050,1310,Arc Energy Capacity,10,Warlock(1218),true,true,true,3,10,,12,4,21,13,4,19,73,47,10,2,19,11,2,17,61,47,legacy,,Machine Gun Reserves*,Machine Gun Reserves*,Iron Precious*,Upgrade Armor*,,,
Transversive Steps,138282166,"""6917529199583184102""",keep,Exotic,Leg Armor,,Warlock,1201,,Arc Energy Capacity,10,Warlock(1218),true,true,true,1,1,,13,17,19,8,19,8,84,19,11,15,7,6,17,6,62,19,combatstyle,,Recovery Mod*,Shotgun Scavenger*,Sword Scavenger*,Midnight Smith*,Upgrade Armor*,Path to Convergence*,Strange Protractor*
Solstice Bond (Magnificent),3009026026,"""6917529202215349394""",favorite,Legendary,Warlock Bond,,Warlock,1200,1360,Arc Energy Capacity,10,Warlock(1218),true,true,true,3,11,Solstice of Heroes,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Recovery Mod*,Outreach*,Taking Charge*,Upgrade Armor*,,,
Vigil of Heroes,2009892127,"""6917529203688724959""",junk,Legendary,Chest Armor,strikes,Titan,1060,1360,Arc Energy Capacity,3,Vault,true,true,false,3,11,,25,2,2,6,19,2,56,6,25,2,2,6,19,2,56,6,legacy,,Vanguard Veteran*,Upgrade Armor*,,,,,
Holdfast Grips,3750210364,"""6917529205074869001""",junk,Legendary,Gauntlets,seasonpass,Hunter,1050,1360,Arc Energy Capacity,4,Vault,true,false,false,3,11,,22,2,6,11,2,16,59,0,22,2,6,11,2,16,59,0,legacy,,Upgrade Armor*,,,,,,
Dreambane Bond,2048903186,"""6917529202426022034""",archive,Legendary,Warlock Bond,moon,Warlock,1058,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Recovery Mod*,Hive Armaments*,Upgrade Armor*,Phenotype Plasticity Bond*,,,
Dreambane Greaves,310888006,"""6917529193704446728""",archive,Legendary,Leg Armor,moon,Titan,1050,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,14,10,11,14,13,9,71,24,12,8,9,12,11,7,59,24,legacy,,High-Energy Fire*,Carminica*,Upgrade Armor*,Northlight Greaves*,,,
St0mp-EE5,193869520,"""6917529203687180828""",favorite,Exotic,Leg Armor,,Hunter,1219,,Void Energy Capacity,9,Vault,true,true,false,1,1,,15,9,8,8,12,11,63,0,15,9,8,8,12,11,63,0,combatstyle,wait,Upgrade Armor*,Hydraulic Boosters*,,,,,
Iron Remembrance Legs,3115791898,"""6917529179388324349""",junk,Legendary,Leg Armor,ironbanner,Warlock,1050,1310,Solar Energy Capacity,4,Vault,true,false,false,3,10,,2,6,22,7,7,15,59,44,2,6,22,7,7,15,59,44,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Iron Remembrance Grips,3308875113,"""6917529186768000317""",infuse,Legendary,Gauntlets,ironbanner,Hunter,1050,1310,Solar Energy Capacity,2,Vault,true,true,false,3,10,,2,9,22,14,2,12,61,0,2,9,22,14,2,12,61,0,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Holdfast Gloves,327547301,"""6917529206643490592""",junk,Legendary,Gauntlets,seasonpass,Warlock,1060,1360,Solar Energy Capacity,7,Vault,true,false,false,3,11,,6,6,22,9,12,12,67,43,6,6,22,9,12,12,67,43,legacy,,Enhanced Submachine Gun Loader*,Enhanced Submachine Gun Loader*,Global Reach*,Upgrade Armor*,,,
Holdfast Grips,3750210364,"""6917529205074867924""",junk,Legendary,Gauntlets,seasonpass,Hunter,1050,1360,Solar Energy Capacity,4,Vault,true,false,false,3,11,,12,2,17,12,8,9,60,0,12,2,17,12,8,9,60,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Vest,2930001572,"""6917529205416303573""",junk,Legendary,Chest Armor,seasonpass,Hunter,1059,1360,Arc Energy Capacity,4,Vault,true,false,false,3,11,,11,2,15,6,8,17,59,0,11,2,15,6,8,17,59,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Plate,1585947570,"""6917529205285292050""",junk,Legendary,Chest Armor,seasonpass,Titan,1050,1360,Solar Energy Capacity,3,Vault,true,false,false,3,11,,6,6,19,9,6,13,59,38,6,6,19,9,6,13,59,38,legacy,,Upgrade Armor*,,,,,,
Hood of the Great Hunt,3445582154,"""6917529189778616078""",junk,Legendary,Helmet,lastwish,Warlock,1059,1360,Solar Energy Capacity,10,Vault,true,false,false,3,11,,24,4,19,8,13,15,83,26,22,2,7,6,11,13,61,26,legacy,,Recovery Mod*,Rocket Launcher Ammo Finder*,Taken Armaments*,Upgrade Armor*,,,
Robes of the Great Hunt,776723133,"""6917529190644042495""",junk,Legendary,Chest Armor,lastwish,Warlock,1059,1360,Void Energy Capacity,10,Vault,true,true,false,3,11,,21,4,22,13,11,11,82,30,19,2,10,11,9,9,60,30,legacy,,Recovery Mod*,Grenade Launcher Reserves*,Taken Invigoration*,Upgrade Armor*,,,
Celestial Nighthawk,1321354573,"""6917529185542765018""",keep,Exotic,Helmet,,Hunter,1250,,Arc Energy Capacity,9,Vault,true,true,false,1,1,,13,3,21,6,2,26,71,0,8,3,21,6,2,26,66,0,combatstyle,,Minor Mobility Mod*,Machine Gun Ammo Finder*,Machine Gun Ammo Finder*,Global Reach*,Amethyst Veil*,Upgrade Armor*,Hawkeye Hack*
Assassin's Cowl,2203146422,"""6917529160821573332""",keep,Exotic,Helmet,,Hunter,1050,,Void Energy Capacity,1,Vault,true,true,false,3,8,,2,7,20,2,14,14,59,0,2,7,20,2,14,14,59,0,combatstyle,,Change Energy Type*,Vanishing Execution*,,,,,
Dreambane Greaves,310888006,"""6917529190438236134""",archive,Legendary,Leg Armor,moon,Titan,1050,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,8,10,24,8,8,19,77,37,6,8,12,6,6,17,55,37,legacy,,Recovery Mod*,Valkyrie Zero*,Upgrade Armor*,Northlight Greaves*,,,
Dreambane Greaves,310888006,"""6917529183810758888""",archive,Legendary,Leg Armor,moon,Titan,1057,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,14,9,18,8,14,8,71,19,12,7,6,6,12,6,49,19,legacy,,Recovery Mod*,Fusion Rifle Scavenger*,Fusion Rifle Scavenger*,New Age Black Armory*,Upgrade Armor*,Northlight Greaves*,
Verity's Brow,2428181146,"""6917529203698118967""",favorite,Exotic,Helmet,,Warlock,1059,,Solar Energy Capacity,10,Vault,true,true,false,1,3,,8,8,23,16,16,4,75,37,6,6,21,14,14,2,63,37,combatstyle,,Upgrade Armor*,The Fourth Magic*,,,,,
Shadow's Mask,326149062,"""6917529195628855607""",junk,Legendary,Helmet,crownofsorrow,Hunter,1050,1360,Void Energy Capacity,3,Vault,true,false,false,3,11,,35,2,6,8,14,7,72,0,25,2,6,8,14,7,62,0,legacy,,Mobility Mod*,Imperial Opulence*,Upgrade Armor*,,,,
Holdfast Gauntlets,287888126,"""6917529206648857746""",junk,Legendary,Gauntlets,seasonpass,Titan,1059,1360,Solar Energy Capacity,6,Vault,true,false,false,3,11,,2,22,10,9,12,12,67,44,2,22,10,9,12,12,67,44,legacy,,Upgrade Armor*,,,,,,
Oathkeeper,691578978,"""6917529172715628007""",,Exotic,Gauntlets,,Hunter,1050,,Void Energy Capacity,1,Vault,true,true,false,2,4,,15,2,15,15,2,12,61,0,15,2,15,15,2,12,61,0,combatstyle,,Change Energy Type*,Adamantine Brace*,,,,,
Iron Remembrance Gloves,167461728,"""6917529188472074114""",junk,Legendary,Gauntlets,ironbanner,Warlock,1050,1310,Void Energy Capacity,6,Vault,true,false,false,3,10,,2,20,12,12,11,8,65,32,2,20,12,12,11,8,65,32,legacy,,Enhanced Scout Rifle Loader*,Enhanced Scout Rifle Loader*,Iron Precious*,Upgrade Armor*,,,
War Mantis,803939997,"""6917529235085411345""",,Rare,Gauntlets,,Hunter,1249,,Arc Energy Capacity,5,Vault,true,true,false,2,4,,40,8,4,0,0,0,52,0,40,8,4,0,0,0,52,0,,,Upgrade Armor*,,,,,,
Dreambane Boots,1030110631,"""6917529207463683772""",archive,Legendary,Leg Armor,moon,Warlock,1060,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,10,15,11,10,9,13,68,28,8,13,9,8,7,11,56,28,legacy,,Upgrade Armor*,,,,,,
Simulator Gauntlets,3762717334,"""6917529211690272818""",junk,Legendary,Gauntlets,fwc,Titan,1086,1310,Arc Energy Capacity,1,Vault,true,false,false,3,10,,2,26,2,7,12,8,57,36,2,26,2,7,12,8,57,36,legacy,,Change Energy Type*,,,,,,
Crown of Tempests,3381022969,"""6917529133883271318""",,Exotic,Helmet,,Warlock,1050,,Void Energy Capacity,8,Vault,true,true,false,1,1,,16,2,12,12,8,8,58,32,16,2,12,12,8,8,58,32,combatstyle,,Heavy Ammo Finder*,Grenade Launcher Ammo Finder*,Rivalry Blacksand*,Upgrade Armor*,Diadem of Deceit*,Conduction Tines*,
Stormdancer's Brace,1996008488,"""6917529203885104272""",,Exotic,Chest Armor,,Warlock,1059,,Solar Energy Capacity,4,Vault,true,true,false,3,8,,12,2,14,6,26,2,62,22,12,2,14,6,26,2,62,22,combatstyle,,Upgrade Armor*,Ascending Amplitude*,,,,,
Dreambane Strides,377813570,"""6917529196955755253""",archive,Legendary,Leg Armor,moon,Hunter,1059,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,18,8,13,14,4,14,71,0,16,6,6,12,2,12,54,0,legacy,,Minor Recovery Mod*,Sword Scavenger*,Sword Scavenger*,Metro Shift*,Upgrade Armor*,Phenotype Plasticity Strides*,
Raiju's Harness,2268523867,"""6917529195728459294""",,Exotic,Chest Armor,,Hunter,1050,,Arc Energy Capacity,2,Vault,true,true,false,3,10,,16,2,14,6,13,12,63,0,16,2,14,6,13,12,63,0,combatstyle,,Upgrade Armor*,Mobius Conduit*,,,,,
Legacy's Oath Grips,2343515647,"""6917529226805798126""",,Legendary,Gauntlets,deepstonecrypt,Hunter,1235,1410,Void Energy Capacity,2,Vault,true,false,false,4,12,,16,9,7,16,7,10,65,0,16,9,7,16,7,10,65,0,"combatstyle,deepstonecrypt",,Upgrade Armor*,,,,,,
Dreambane Boots,1030110631,"""6917529188919171368""",archive,Legendary,Leg Armor,moon,Warlock,1050,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,11,8,13,10,8,18,68,35,9,6,11,8,6,16,56,35,legacy,,Traction*,Shotgun Scavenger*,Powerful Friends*,Amethyst Veil*,Upgrade Armor*,Phenotype Plasticity Boots*,
Holdfast Cover,1173249516,"""6917529200002502462""",junk,Legendary,Helmet,seasonpass,Warlock,1053,1360,Void Energy Capacity,6,Vault,true,false,false,3,11,,2,7,19,16,8,6,58,41,2,7,19,16,8,6,58,41,legacy,,Upgrade Armor*,,,,,,
Holdfast Strides,3136019014,"""6917529204231370296""",junk,Legendary,Leg Armor,seasonpass,Hunter,1050,1360,Arc Energy Capacity,5,Vault,true,true,false,3,11,,12,6,14,15,2,13,62,0,12,6,14,15,2,13,62,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Gauntlets,287888126,"""6917529196046672219""",junk,Legendary,Gauntlets,seasonpass,Titan,1050,1360,Arc Energy Capacity,3,Vault,true,false,false,3,11,,9,10,7,7,18,6,57,23,9,10,7,7,18,6,57,23,legacy,,Upgrade Armor*,,,,,,
Vesper of Radius,1725917554,"""6917529132242107760""",keep,Exotic,Chest Armor,,Warlock,1050,,Solar Energy Capacity,4,Vault,true,true,false,1,2,,7,4,19,14,14,2,60,35,7,4,19,14,14,2,60,35,combatstyle,,Upgrade Armor*,Planetary Torrent*,,,,,
Dreambane Boots,1030110631,"""6917529203544472874""",archive,Legendary,Leg Armor,moon,Warlock,1059,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,4,8,20,16,13,4,65,34,2,6,18,14,11,2,53,34,legacy,,Upgrade Armor*,,,,,,
Holdfast Vest,2930001572,"""6917529205212162716""",junk,Legendary,Chest Armor,seasonpass,Hunter,1050,1360,Arc Energy Capacity,3,Vault,true,false,false,3,11,,8,2,19,8,14,6,57,0,8,2,19,8,14,6,57,0,legacy,,Upgrade Armor*,,,,,,
Mk. 44 Stand Asides,136355432,"""6917529200915450500""",favorite,Exotic,Leg Armor,,Titan,1050,,Void Energy Capacity,1,Vault,true,true,false,1,2,,9,3,21,12,6,13,64,37,9,3,21,12,6,13,64,37,combatstyle,,Change Energy Type*,"Seriously, Watch Out*",,,,,
Holdfast Gloves,327547301,"""6917529205379547954""",junk,Legendary,Gauntlets,seasonpass,Warlock,1059,1360,Void Energy Capacity,3,Vault,true,false,false,3,11,,2,11,15,9,16,7,60,31,2,11,15,9,16,7,60,31,legacy,,Upgrade Armor*,,,,,,
Mechaneer's Tricksleeves,1734144409,"""6917529204662916187""",favorite,Exotic,Gauntlets,,Hunter,1050,,Solar Energy Capacity,4,Vault,true,true,false,1,1,,12,6,16,16,15,2,67,0,12,6,16,16,15,2,67,0,combatstyle,,Upgrade Armor*,Spring-Loaded Mounting*,,,,,
Sunbracers,3787517196,"""6917529196715814581""",,Exotic,Gauntlets,,Warlock,1050,,Solar Energy Capacity,7,Vault,true,true,false,1,1,,9,12,22,7,15,7,72,26,9,12,12,7,15,7,62,26,combatstyle,,Recovery Mod*,Fastball*,Auto Rifle Loader*,Amethyst Veil*,Upgrade Armor*,Eyes of Mercury*,Helium Spirals*
Graviton Forfeit,2773056939,"""6917529204031976718""",,Exotic,Helmet,,Hunter,1050,,Arc Energy Capacity,5,Vault,true,true,false,1,2,,7,2,25,10,2,20,66,0,7,2,25,10,2,20,66,0,combatstyle,,Upgrade Armor*,Vanishing Shadow*,,,,,
Dreambane Bond,2048903186,"""6917529205773897143""",archive,Legendary,Warlock Bond,moon,Warlock,1060,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,legacy,,Upgrade Armor*,,,,,,
ACD/0 Feedback Fence,2563444729,"""6917529161776605658""",,Exotic,Gauntlets,,Titan,1050,,Arc Energy Capacity,5,Vault,true,true,false,1,1,,6,8,14,2,17,12,59,34,6,8,14,2,17,12,59,34,combatstyle,,Upgrade Armor*,Fury Conductors*,,,,,
Vest of the Great Hunt,2868042232,"""6917529185013769439""",junk,Legendary,Chest Armor,lastwish,Hunter,1050,1360,Void Energy Capacity,10,Vault,true,false,false,3,11,,4,15,15,22,8,9,73,0,2,13,13,20,6,7,61,0,legacy,,Upgrade Armor*,,,,,,
Dreambane Vest,883769696,"""6917529199094470241""",archive,Legendary,Chest Armor,moon,Hunter,1055,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,9,13,9,18,11,8,68,0,7,11,7,16,9,6,56,0,legacy,,Sniper Rifle Reserves*,High-Energy Fire*,Valkyrie Zero*,Upgrade Armor*,Northlight Vest*,,
Solstice Gloves (Magnificent),731283469,"""6917529202238404759""",junk,Legendary,Gauntlets,,Warlock,1055,1360,Solar Energy Capacity,8,Vault,true,false,false,3,11,Solstice of Heroes,8,6,16,13,10,8,61,37,8,6,16,13,10,8,61,37,legacy,,Submachine Gun Loader*,Submachine Gun Loader*,Upgrade Armor*,,,,
Holdfast Cover,1173249516,"""6917529206348393028""",junk,Legendary,Helmet,seasonpass,Warlock,1059,1360,Solar Energy Capacity,3,Vault,true,false,false,3,11,,7,6,16,6,13,9,57,31,7,6,16,6,13,9,57,31,legacy,,Upgrade Armor*,,,,,,
Holdfast Grips,3750210364,"""6917529203434806982""",junk,Legendary,Gauntlets,seasonpass,Hunter,1058,1360,Solar Energy Capacity,2,Vault,true,false,false,3,11,,14,2,14,12,9,8,59,0,14,2,14,12,9,8,59,0,legacy,,Upgrade Armor*,,,,,,
Dunemarchers,1160559849,"""6917529197751510750""",,Exotic,Leg Armor,,Titan,1050,,Arc Energy Capacity,10,Vault,true,true,false,1,1,,13,21,14,8,11,16,83,35,11,19,2,6,9,14,61,35,combatstyle,,Recovery Mod*,Traction*,Midnight Smith*,Upgrade Armor*,Linear Actuators*,,
Iron Will Sleeves,2295273904,"""6917529242325459677""",,Legendary,Gauntlets,ironbanner,Hunter,1250,1410,Solar Energy Capacity,1,Vault,true,false,false,4,12,,14,8,6,28,2,2,60,0,14,8,6,28,2,2,60,0,combatstyle,,Marble Effigy*,Change Energy Type*,,,,,
Iron Remembrance Gloves,167461728,"""6917529188472081162""",junk,Legendary,Gauntlets,ironbanner,Warlock,1050,1310,Solar Energy Capacity,5,Vault,true,false,false,3,10,,2,11,16,12,15,2,58,30,2,11,16,12,15,2,58,30,legacy,,Enhanced Submachine Gun Loader*,Wrath of Rasputin*,Iron Precious*,Upgrade Armor*,,,
Errant Knight 1.0,215674186,"""6917529241662126361""",,Legendary,Gauntlets,legendaryengram,Hunter,1250,1410,Void Energy Capacity,1,Vault,true,false,false,4,12,,6,2,19,7,22,2,58,0,6,2,19,7,22,2,58,0,combatstyle,,Change Energy Type*,,,,,,
Dreambane Plate,2568538788,"""6917529188466846981""",archive,Legendary,Chest Armor,moon,Titan,1050,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,20,8,14,12,14,9,77,15,18,6,2,10,12,7,55,15,legacy,,Recovery Mod*,Enhanced Unflinching Hand Cannon Aim*,Blueshift Dreams*,Upgrade Armor*,Empyrean Cartographer Plate*,,
Moonfang-X7 Mask,2623956730,"""6917529202269131804""",junk,Legendary,Helmet,prophecy,Hunter,1058,1360,Arc Energy Capacity,1,Vault,true,false,false,3,11,,6,23,2,6,14,10,61,0,6,23,2,6,14,10,61,0,legacy,,Change Energy Type*,,,,,,
Wings of Sacred Dawn,370930766,"""6917529130772259952""",,Exotic,Chest Armor,,Warlock,1050,,Void Energy Capacity,7,Vault,true,true,false,1,1,,8,25,9,7,19,2,70,18,8,15,9,7,19,2,60,18,combatstyle,,Resilience Mod*,Upgrade Armor*,Tome of Dawn*,,,,
Solstice Grasps (Magnificent),2629627596,"""6917529200799101709""",infuse,Legendary,Gauntlets,,Hunter,1050,1360,Void Energy Capacity,1,Vault,true,true,false,3,11,Solstice of Heroes,12,6,14,18,6,7,63,0,12,6,14,18,6,7,63,0,legacy,,Change Energy Type*,,,,,,
Iron Remembrance Gauntlets,713182381,"""6917529188472081582""",junk,Legendary,Gauntlets,ironbanner,Titan,1050,1310,Solar Energy Capacity,4,Vault,true,false,false,3,10,,8,8,14,10,13,7,60,29,8,8,14,10,13,7,60,29,legacy,,Iron Precious*,Upgrade Armor*,,,,,
Astrocyte Verse,3948284065,"""6917529134249796731""",,Exotic,Helmet,,Warlock,1050,,Arc Energy Capacity,7,Vault,true,true,false,2,7,,18,6,16,8,12,8,68,32,8,6,16,8,12,8,58,32,combatstyle,,Mobility Mod*,Sword Ammo Finder*,Sword Ammo Finder*,Upgrade Armor*,Move to Survive*,,
Holdfast Mask,3097544525,"""6917529205239895046""",junk,Legendary,Helmet,seasonpass,Hunter,1059,1360,Void Energy Capacity,5,Vault,true,true,false,3,11,,9,2,18,18,2,12,61,0,9,2,18,18,2,12,61,0,legacy,,Upgrade Armor*,,,,,,
Dreambane Plate,2568538788,"""6917529196955761346""",archive,Legendary,Chest Armor,moon,Titan,1052,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,8,15,19,12,4,17,75,35,6,13,7,10,2,15,53,35,legacy,,Recovery Mod*,Enhanced Unflinching Hand Cannon Aim*,Upgrade Armor*,Empyrean Cartographer Plate*,,,
Dreambane Plate,2568538788,"""6917529198980213983""",archive,Legendary,Chest Armor,moon,Titan,1053,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,8,15,10,13,10,9,65,28,6,13,8,11,8,7,53,28,legacy,,Upgrade Armor*,Empyrean Cartographer Plate*,,,,,
Stronghold,2240152949,"""6917529203741435618""",,Exotic,Gauntlets,,Titan,1059,,Void Energy Capacity,1,Vault,true,true,false,2,6,,2,21,9,14,7,9,62,39,2,21,9,14,7,9,62,39,combatstyle,,Change Energy Type*,Clenched Fist*,,,,,
Shadow's Vest,942205921,"""6917529198672679626""",junk,Legendary,Chest Armor,crownofsorrow,Hunter,1050,1360,Void Energy Capacity,2,Vault,true,false,false,3,11,,17,7,7,19,2,12,64,0,17,7,7,19,2,12,64,0,legacy,,Imperial Opulence*,Upgrade Armor*,,,,,
Dreambane Mark,3312368889,"""6917529201974462250""",archive,Legendary,Titan Mark,moon,Titan,1056,1060,Arc Energy Capacity,10,Vault,true,false,false,3,8,,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Recovery Mod*,Powerful Friends*,New Age Black Armory*,Upgrade Armor*,Phenotype Plasticity Mark*,,
Seventh Seraph Cowl,2234841490,"""6917529193234861524""",junk,Legendary,Helmet,seasonpass,Hunter,1050,1310,Solar Energy Capacity,6,Vault,true,false,false,3,10,,16,7,9,11,14,6,63,0,16,7,9,11,14,6,63,0,legacy,,Auto Rifle Ammo Finder*,Sustained Charge*,Upgrade Armor*,,,,
Iron Fellowship Gloves,125833536,"""6917529204745079091""",junk,Legendary,Gauntlets,ironbanner,Warlock,1060,1360,Arc Energy Capacity,1,Vault,true,false,false,3,11,,2,19,7,10,20,2,60,19,2,19,7,10,20,2,60,19,legacy,,Iron Vendetta*,Change Energy Type*,,,,,
Dreambane Vest,883769696,"""6917529163026273330""",archive,Legendary,Chest Armor,moon,Hunter,1050,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,24,9,8,8,9,13,71,0,12,7,6,6,7,11,49,0,legacy,,Mobility Mod*,Grenade Launcher Reserves*,Grenade Launcher Reserves*,Lunar Gloom*,Upgrade Armor*,,
Dreambane Vest,883769696,"""6917529195032500646""",archive,Legendary,Chest Armor,moon,Hunter,1050,1060,Solar Energy Capacity,10,Vault,true,false,false,3,8,,10,8,13,14,8,8,61,0,8,6,11,12,6,6,49,0,legacy,,Submachine Gun Reserves*,Submachine Gun Reserves*,High-Energy Fire*,Upgrade Armor*,Northlight Vest*,,
Iron Remembrance Legs,3115791898,"""6917529179383138970""",junk,Legendary,Leg Armor,ironbanner,Warlock,1050,1310,Void Energy Capacity,9,Vault,true,true,false,3,10,,9,16,18,11,16,2,72,21,9,16,8,11,16,2,62,21,legacy,,Recovery Mod*,Grenade Launcher Scavenger*,Iron Precious*,Upgrade Armor*,,,
Dreambane Vest,883769696,"""6917529195812836881""",archive,Legendary,Chest Armor,moon,Hunter,1052,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,9,9,22,11,10,16,77,0,7,7,10,9,8,14,55,0,legacy,,Recovery Mod*,Enhanced Unflinching Hand Cannon Aim*,Amethyst Veil*,Upgrade Armor*,Northlight Vest*,,
Shadow's Mask,326149062,"""6917529196223876883""",junk,Legendary,Helmet,crownofsorrow,Hunter,1050,1360,Arc Energy Capacity,1,Vault,true,false,false,3,11,,6,10,16,17,2,12,63,0,6,10,16,17,2,12,63,0,legacy,,Imperial Opulence*,Change Energy Type*,,,,,
Holdfast Grips,3750210364,"""6917529205545918025""",junk,Legendary,Gauntlets,seasonpass,Hunter,1059,1360,Arc Energy Capacity,2,Vault,true,false,false,3,11,,2,9,19,7,15,8,60,0,2,9,19,7,15,8,60,0,legacy,,Upgrade Armor*,,,,,,
Dreambane Robes,3692187003,"""6917529195026884113""",archive,Legendary,Chest Armor,moon,Warlock,1050,1060,Void Energy Capacity,10,Vault,true,false,false,3,8,,13,18,14,25,4,4,78,27,11,16,2,23,2,2,56,27,legacy,,Recovery Mod*,Sniper Rifle Reserves*,Carminica*,Upgrade Armor*,Northlight Robes*,,
Holdfast Cover,1173249516,"""6917529206336722266""",junk,Legendary,Helmet,seasonpass,Warlock,1059,1360,Void Energy Capacity,2,Vault,true,false,false,3,11,,8,2,21,13,6,7,57,41,8,2,21,13,6,7,57,41,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Plate,63725907,"""6917529179343391382""",junk,Legendary,Chest Armor,ironbanner,Titan,1050,1310,Arc Energy Capacity,9,Vault,true,true,false,3,10,,12,16,16,9,14,8,75,30,12,16,6,9,14,8,65,30,legacy,,Recovery Mod*,Sword Reserves*,Machine Gun Reserves*,New Age Black Armory*,Upgrade Armor*,,
Apotheosis Veil,1096253259,"""6917529203687181115""",,Exotic,Helmet,,Warlock,1059,,Arc Energy Capacity,4,Vault,true,true,false,1,3,,6,8,16,6,23,2,61,24,6,8,16,6,23,2,61,24,combatstyle,,Upgrade Armor*,Insatiable*,,,,,
Lucky Raspberry,903984858,"""6917529241395149431""",,Exotic,Chest Armor,,Hunter,1254,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,18,3,14,9,7,13,64,0,18,3,14,9,7,13,64,0,combatstyle,,Change Energy Type*,Probability Matrix*,,,,,
Celestial Nighthawk,1321354573,"""6917529229188606205""",,Exotic,Helmet,,Hunter,1241,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,10,11,12,11,15,2,61,0,10,11,12,11,15,2,61,0,combatstyle,,Change Energy Type*,Hawkeye Hack*,,,,,
Foetracer,896224899,"""6917529111014198479""",favorite,Exotic,Helmet,,Hunter,1050,,Void Energy Capacity,10,Vault,true,true,false,1,1,,17,4,15,14,11,11,72,0,15,2,13,12,9,9,60,0,combatstyle,can wait,Enhanced Hand Cannon Targeting*,New Age Black Armory*,Upgrade Armor*,Relentless Tracker*,,,
Sovereign Boots,869711119,"""6917529205557771527""",junk,Legendary,Leg Armor,nm,Hunter,1059,1310,Void Energy Capacity,2,Vault,true,false,false,3,10,,6,25,2,9,9,10,61,0,6,25,2,9,9,10,61,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Grips,3750210364,"""6917529205728434105""",junk,Legendary,Gauntlets,seasonpass,Hunter,1059,1360,Solar Energy Capacity,6,Vault,true,false,false,3,11,,11,2,19,9,9,13,63,0,11,2,19,9,9,13,63,0,legacy,,Upgrade Armor*,,,,,,
Iron Remembrance Strides,3600816955,"""6917529172372370749""",junk,Legendary,Leg Armor,ironbanner,Hunter,1050,1310,Solar Energy Capacity,6,Vault,true,false,false,3,10,,8,2,18,6,7,15,56,0,8,2,18,6,7,15,56,0,legacy,,Linear Fusion Rifle Scavenger*,Linear Fusion Rifle Scavenger*,Iron Precious*,Upgrade Armor*,,,
Vest of Transcendence,4177973942,"""6917529197704634900""",junk,Legendary,Chest Armor,garden,Hunter,1050,1360,Solar Energy Capacity,3,Vault,true,false,false,3,11,,15,2,13,7,12,10,59,0,15,2,13,7,12,10,59,0,legacy,,Upgrade Armor*,,,,,,
Wild Hunt Mask,4079117607,"""6917529235921586248""",,Legendary,Helmet,seasonpass,Hunter,1250,1410,Arc Energy Capacity,5,Vault,true,false,false,4,12,,6,14,8,2,20,7,57,0,6,14,8,2,20,7,57,0,combatstyle,,Hands-On*,Sword Ammo Finder*,Upgrade Armor*,,,,
Starfire Protocol,2082483156,"""6917529199123955157""",,Exotic,Chest Armor,,Warlock,1059,,Arc Energy Capacity,9,Vault,true,true,false,1,1,,7,7,27,16,2,12,71,45,7,7,17,16,2,12,61,45,combatstyle,,Recovery Mod*,Rifle Reserves*,Metro Shift*,Upgrade Armor*,Fusion Harness*,,
